,,best_value,best_value,best_value,regret,regret,regret,iteration
,,mean,std,max,mean,std,min,count
dataset,algorithm,,,,,,,
enron,bfs,4.9811,0.0723,5.0265,0.0455,0.0723,0.0,50
enron,dfs,4.9482,0.0972,5.0265,0.0783,0.0972,0.0,50
enron,random_search,3.8463,0.7085,5.0265,1.1802,0.7085,0.0,50
enron,sparse_grf,4.6042,0.5714,5.0265,0.4223,0.5714,0.0,50
facebook,bfs,3.6153,0.3547,3.7562,0.141,0.3547,0.0,50
facebook,dfs,3.4256,0.4214,3.7562,0.3307,0.4214,0.0,50
facebook,random_search,2.7541,0.464,3.4775,1.0021,0.464,0.2788,50
facebook,sparse_grf,3.1623,0.3562,3.6965,0.594,0.3562,0.0597,50
twitch,bfs,5.0113,0.2384,5.1094,0.0981,0.2384,0.0,50
twitch,dfs,4.8431,0.4655,5.1094,0.2663,0.4655,0.0,50
twitch,random_search,3.5161,0.579,4.3054,1.5933,0.579,0.804,50
twitch,sparse_grf,4.5838,0.267,5.1094,0.5256,0.267,0.0,50
youtube,bfs,9.1752,0.4641,9.7875,0.6123,0.4641,0.0,50
youtube,dfs,8.8916,0.9005,9.7875,0.8959,0.9005,0.0,50
youtube,random_search,4.2736,0.9792,6.2748,5.5139,0.9792,3.5127,50
youtube,sparse_grf,8.7241,0.9613,9.7875,1.0634,0.9613,0.0,50
