,,best_value,best_value,best_value,regret,regret,regret,iteration
,,mean,std,max,mean,std,min,count
dataset,algorithm,,,,,,,
enron,bfs,4.7038,0.7687,5.0265,0.3228,0.7687,0.0,1000
enron,dfs,4.2725,0.9171,5.0265,0.754,0.9171,0.0,1000
enron,random_search,2.8769,0.7981,4.9374,2.1496,0.7981,0.0891,1000
enron,sparse_grf,4.6597,0.8975,5.0265,0.3668,0.8975,0.0,1000
facebook,bfs,2.422,0.5563,3.2468,1.3343,0.5563,0.5094,1000
facebook,dfs,2.2381,0.5685,3.2468,1.5182,0.5685,0.5094,1000
facebook,random_search,1.9219,0.4174,2.8187,1.8343,0.4174,0.9375,1000
facebook,sparse_grf,3.1952,0.6767,3.7562,0.5611,0.6767,0.0,1000
twitch,bfs,4.534,0.811,5.1094,0.5753,0.811,0.0,1000
twitch,dfs,3.8805,1.1208,5.1094,1.2289,1.1208,0.0,1000
twitch,random_search,2.2218,0.6778,4.2799,2.8876,0.6778,0.8295,1000
twitch,sparse_grf,4.6339,0.1596,5.1094,0.4755,0.1596,0.0,1000
youtube,bfs,7.7642,1.7762,9.7875,2.0233,1.7762,0.0,1000
youtube,dfs,6.9824,1.9806,9.7875,2.8051,1.9806,0.0,1000
youtube,random_search,3.0357,1.1049,4.7046,6.7518,1.1049,5.0829,1000
youtube,sparse_grf,8.4927,1.4596,9.7875,1.2948,1.4596,0.0,1000
