,,best_value,best_value,best_value,regret,regret,regret,iteration
,,mean,std,max,mean,std,min,count
dataset,algorithm,,,,,,,
1000hpa,bfs,1.5031,0.1171,1.7013,0.2142,0.1171,0.016,1000
1000hpa,dfs,1.4979,0.1174,1.7013,0.2194,0.1174,0.016,1000
1000hpa,random_search,1.6007,0.0867,1.6924,0.1166,0.0867,0.0249,1000
1000hpa,sparse_grf,1.5871,0.1158,1.7166,0.1302,0.1158,0.0007,1000
500hpa,bfs,1.2092,0.0805,1.3198,0.321,0.0805,0.2104,1000
500hpa,dfs,1.2114,0.0817,1.3235,0.3188,0.0817,0.2067,1000
500hpa,random_search,1.2849,0.0428,1.3254,0.2453,0.0428,0.2048,1000
500hpa,sparse_grf,1.2722,0.0834,1.4698,0.258,0.0834,0.0604,1000
800hpa,bfs,1.4694,0.1475,1.6009,0.285,0.1475,0.1536,1000
800hpa,dfs,1.4706,0.1468,1.6009,0.2839,0.1468,0.1536,1000
800hpa,random_search,1.5889,0.0743,1.723,0.1655,0.0743,0.0314,1000
800hpa,sparse_grf,1.555,0.128,1.6507,0.1994,0.128,0.1037,1000
