,,best_value,best_value,best_value,regret,regret,regret,iteration
,,mean,std,max,mean,std,min,count
dataset,algorithm,,,,,,,
1000hpa_wide,bfs,3.1139,0.6292,3.9091,0.8631,0.6292,0.068,1000
1000hpa_wide,dfs,3.1593,0.6618,3.8594,0.8178,0.6618,0.1177,1000
1000hpa_wide,random_search,3.6105,0.4206,3.9641,0.3665,0.4206,0.0129,1000
1000hpa_wide,sparse_grf,3.2275,0.5964,3.6684,0.7496,0.5964,0.3087,1000
500hpa_wide,bfs,2.5395,0.3769,3.1645,0.6249,0.3769,0.0,1000
500hpa_wide,dfs,2.396,0.3233,3.1645,0.7685,0.3233,0.0,1000
500hpa_wide,random_search,2.7242,0.3439,3.1645,0.4403,0.3439,0.0,1000
500hpa_wide,sparse_grf,2.3465,0.3884,3.126,0.8179,0.3884,0.0384,1000
800hpa_wide,bfs,3.1166,0.5597,3.6042,0.8298,0.5597,0.3421,1000
800hpa_wide,dfs,3.0955,0.579,3.9463,0.8508,0.579,0.0,1000
800hpa_wide,random_search,3.3555,0.2839,3.5904,0.5908,0.2839,0.3559,1000
800hpa_wide,sparse_grf,3.1247,0.6307,3.9463,0.8216,0.6307,0.0,1000
