,,best_value,best_value,best_value,regret,regret,regret,iteration
,,mean,std,max,mean,std,min,count
dataset,algorithm,,,,,,,
1000hpa_wide,bfs,3.8132,0.109,3.9771,0.1639,0.109,-0.0,10000
1000hpa_wide,dfs,3.8144,0.1084,3.9771,0.1627,0.1084,-0.0,10000
1000hpa_wide,random_search,3.8343,0.1169,3.9771,0.1427,0.1169,-0.0,10000
1000hpa_wide,sparse_grf,3.9572,0.055,3.9771,0.0199,0.055,-0.0,10000
500hpa_wide,bfs,2.8551,0.251,3.1645,0.3093,0.251,-0.0,10000
500hpa_wide,dfs,2.8545,0.251,3.1645,0.31,0.251,-0.0,10000
500hpa_wide,random_search,2.8767,0.2415,3.1645,0.2877,0.2415,-0.0,10000
500hpa_wide,sparse_grf,2.921,0.2295,3.1645,0.2435,0.2295,-0.0,10000
800hpa_wide,bfs,3.5867,0.1306,3.9463,0.3596,0.1306,-0.0,10000
800hpa_wide,dfs,3.5877,0.1305,3.9463,0.3586,0.1305,-0.0,10000
800hpa_wide,random_search,3.5815,0.1315,3.9463,0.3648,0.1315,-0.0,10000
800hpa_wide,sparse_grf,3.7786,0.1812,3.9463,0.1678,0.1812,-0.0,10000
