seed,walks_per_node,model,test_rmse,test_nlpd,train_loss_final,noise_variance,num_train,num_test
0,32,SparseGRF,0.9142376780509949,1.450595498085022,1.4302093982696533,,1424,9088
0,32,SparseDiffusion,0.9861494302749634,1.5871096849441528,1.4133942127227783,,1424,9088
0,64,SparseGRF,0.8659200072288513,1.3144484758377075,1.4260179996490479,,1424,9088
0,64,SparseDiffusion,0.9801034927368164,1.5444360971450806,1.4126073122024536,,1424,9088
0,128,SparseGRF,0.8392029404640198,1.264210820198059,1.3921610116958618,,1424,9088
0,128,SparseDiffusion,0.9537167549133301,1.5635952949523926,1.4069530963897705,,1424,9088
0,256,SparseGRF,0.7862658500671387,1.192001223564148,1.3966163396835327,,1424,9088
0,256,SparseDiffusion,0.9136511087417603,1.655752420425415,1.400698184967041,,1424,9088
0,512,SparseGRF,0.7582207322120667,1.140427827835083,1.3582111597061157,,1424,9088
0,512,SparseDiffusion,0.8901143670082092,1.6913328170776367,1.3900659084320068,,1424,9088
0,1024,SparseGRF,0.7377203106880188,1.0859580039978027,1.3301252126693726,,1424,9088
0,1024,SparseDiffusion,0.8683085441589355,1.7408075332641602,1.3743642568588257,,1424,9088
0,2048,SparseGRF,0.730201005935669,1.0657377243041992,1.3119271993637085,,1424,9088
0,2048,SparseDiffusion,0.849925696849823,1.7500561475753784,1.3622390031814575,,1424,9088
0,4096,SparseGRF,0.7265450358390808,1.0470834970474243,1.3038502931594849,,1424,9088
0,4096,SparseDiffusion,0.8383926153182983,1.7442148923873901,1.3520371913909912,,1424,9088
0,8192,SparseGRF,0.7290826439857483,1.0447982549667358,1.307050347328186,,1424,9088
0,8192,SparseDiffusion,0.8309682607650757,1.7889622449874878,1.3323954343795776,,1424,9088
1,32,SparseGRF,0.9216359853744507,1.4727466106414795,1.4327611923217773,,1424,9088
1,32,SparseDiffusion,1.0012028217315674,1.540829062461853,1.416837215423584,,1424,9088
1,64,SparseGRF,0.8596712350845337,1.3178828954696655,1.4252362251281738,,1424,9088
1,64,SparseDiffusion,0.9666230082511902,1.5639333724975586,1.4102391004562378,,1424,9088
1,128,SparseGRF,0.8240087628364563,1.2522233724594116,1.4109081029891968,,1424,9088
1,128,SparseDiffusion,0.9500615000724792,1.5598496198654175,1.4096977710723877,,1424,9088
1,256,SparseGRF,0.7935381531715393,1.1979974508285522,1.379700779914856,,1424,9088
1,256,SparseDiffusion,0.9212406277656555,1.6080528497695923,1.4003139734268188,,1424,9088
1,512,SparseGRF,0.7602554559707642,1.1447093486785889,1.3460017442703247,,1424,9088
1,512,SparseDiffusion,0.8890932202339172,1.7009177207946777,1.3848332166671753,,1424,9088
1,1024,SparseGRF,0.7400650382041931,1.0974626541137695,1.3388475179672241,,1424,9088
1,1024,SparseDiffusion,0.8670588731765747,1.7365615367889404,1.377000093460083,,1424,9088
1,2048,SparseGRF,0.7323669195175171,1.064875841140747,1.3121006488800049,,1424,9088
1,2048,SparseDiffusion,0.8502054810523987,1.7801969051361084,1.365431547164917,,1424,9088
1,4096,SparseGRF,0.7066758871078491,1.0263675451278687,1.321976900100708,,1424,9088
1,4096,SparseDiffusion,0.8399831056594849,1.766718864440918,1.3512333631515503,,1424,9088
1,8192,SparseGRF,0.6996015906333923,1.0121904611587524,1.3017805814743042,,1424,9088
1,8192,SparseDiffusion,0.829500675201416,1.7606313228607178,1.3388200998306274,,1424,9088
2,32,SparseGRF,0.9264675378799438,1.5492174625396729,1.4316694736480713,,1424,9088
2,32,SparseDiffusion,0.992316722869873,1.537295937538147,1.417974591255188,,1424,9088
2,64,SparseGRF,0.8638558983802795,1.3077055215835571,1.4339516162872314,,1424,9088
2,64,SparseDiffusion,0.9787940979003906,1.546457052230835,1.4163172245025635,,1424,9088
2,128,SparseGRF,0.828157365322113,1.2490558624267578,1.3910644054412842,,1424,9088
2,128,SparseDiffusion,0.9414640665054321,1.5867173671722412,1.404958724975586,,1424,9088
2,256,SparseGRF,0.7953159213066101,1.2014106512069702,1.3820384740829468,,1424,9088
2,256,SparseDiffusion,0.9160463809967041,1.6421750783920288,1.4004007577896118,,1424,9088
2,512,SparseGRF,0.7658838033676147,1.146955132484436,1.3549166917800903,,1424,9088
2,512,SparseDiffusion,0.8856565952301025,1.7424426078796387,1.3890174627304077,,1424,9088
2,1024,SparseGRF,0.744176983833313,1.1027902364730835,1.3365883827209473,,1424,9088
2,1024,SparseDiffusion,0.8651110529899597,1.7597246170043945,1.371303915977478,,1424,9088
2,2048,SparseGRF,0.7275168895721436,1.0611006021499634,1.3140380382537842,,1424,9088
2,2048,SparseDiffusion,0.8494738340377808,1.7909581661224365,1.361739993095398,,1424,9088
2,4096,SparseGRF,0.7148662209510803,1.0337058305740356,1.3167927265167236,,1424,9088
2,4096,SparseDiffusion,0.8384590148925781,1.760205864906311,1.3507159948349,,1424,9088
2,8192,SparseGRF,0.7598791122436523,1.0918680429458618,1.316465973854065,,1424,9088
2,8192,SparseDiffusion,0.830960214138031,1.766845703125,1.3382240533828735,,1424,9088
3,32,SparseGRF,0.9054982662200928,1.403045654296875,1.441454291343689,,1424,9088
3,32,SparseDiffusion,0.9980419278144836,1.5098053216934204,1.4147478342056274,,1424,9088
3,64,SparseGRF,0.8660222887992859,1.3267642259597778,1.4243520498275757,,1424,9088
3,64,SparseDiffusion,0.9743573069572449,1.5881656408309937,1.409913182258606,,1424,9088
3,128,SparseGRF,0.834434449672699,1.264868974685669,1.3942034244537354,,1424,9088
3,128,SparseDiffusion,0.9553898572921753,1.5815849304199219,1.4066702127456665,,1424,9088
3,256,SparseGRF,0.7981233596801758,1.20511794090271,1.3780077695846558,,1424,9088
3,256,SparseDiffusion,0.9164209365844727,1.6439824104309082,1.4010238647460938,,1424,9088
3,512,SparseGRF,0.7621701955795288,1.1393529176712036,1.361301064491272,,1424,9088
3,512,SparseDiffusion,0.8880418539047241,1.7058017253875732,1.385619044303894,,1424,9088
3,1024,SparseGRF,0.7423986792564392,1.101439118385315,1.3465889692306519,,1424,9088
3,1024,SparseDiffusion,0.8671544194221497,1.721682071685791,1.3749221563339233,,1424,9088
3,2048,SparseGRF,0.7255306243896484,1.06087327003479,1.3165171146392822,,1424,9088
3,2048,SparseDiffusion,0.8516104817390442,1.7534433603286743,1.3674492835998535,,1424,9088
3,4096,SparseGRF,0.7142690420150757,1.0356414318084717,1.312105655670166,,1424,9088
3,4096,SparseDiffusion,0.8358539342880249,1.8000826835632324,1.3475651741027832,,1424,9088
3,8192,SparseGRF,0.7172631025314331,1.0299293994903564,1.3050858974456787,,1424,9088
3,8192,SparseDiffusion,0.8297582268714905,1.7744346857070923,1.3364229202270508,,1424,9088
4,32,SparseGRF,0.9135854244232178,1.449062705039978,1.4313150644302368,,1424,9088
4,32,SparseDiffusion,0.9939403533935547,1.5137414932250977,1.4158602952957153,,1424,9088
4,64,SparseGRF,0.8705750107765198,1.318152904510498,1.433785319328308,,1424,9088
4,64,SparseDiffusion,0.9772114157676697,1.5802967548370361,1.4155100584030151,,1424,9088
4,128,SparseGRF,0.8303127288818359,1.2635421752929688,1.394784688949585,,1424,9088
4,128,SparseDiffusion,0.9437127113342285,1.5914303064346313,1.406196117401123,,1424,9088
4,256,SparseGRF,0.799126923084259,1.2010393142700195,1.3861850500106812,,1424,9088
4,256,SparseDiffusion,0.9134341478347778,1.6796575784683228,1.4027831554412842,,1424,9088
4,512,SparseGRF,0.7554280757904053,1.1424533128738403,1.368173360824585,,1424,9088
4,512,SparseDiffusion,0.8837109208106995,1.7123422622680664,1.3875731229782104,,1424,9088
4,1024,SparseGRF,0.7422046661376953,1.101802110671997,1.3374152183532715,,1424,9088
4,1024,SparseDiffusion,0.8733194470405579,1.7336466312408447,1.3752003908157349,,1424,9088
4,2048,SparseGRF,0.7397838234901428,1.0716794729232788,1.3279832601547241,,1424,9088
4,2048,SparseDiffusion,0.851291835308075,1.7782576084136963,1.3662245273590088,,1424,9088
