iteration,best_value,best_point,regret,dataset_size,batch_mean,batch_max,algorithm,dataset,bo_seed,bo_run,ground_truth_best,n_nodes,n_edges,density
1,1.2826321125030518,785235,0.24755942821502686,35,0.3739328671246767,1.2826321125030518,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
2,1.2826321125030518,785235,0.24755942821502686,40,-0.018461856245994567,1.1447666883468628,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
3,1.2826321125030518,785235,0.24755942821502686,45,0.17744354009628296,0.8797303438186646,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
4,1.2826321125030518,785235,0.24755942821502686,50,-0.5693138480186463,0.7753005623817444,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
5,1.2826321125030518,785235,0.24755942821502686,55,-0.06668212413787841,0.41164541244506836,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
6,1.2826321125030518,785235,0.24755942821502686,60,-0.31514677703380584,0.539786159992218,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
7,1.2826321125030518,785235,0.24755942821502686,65,0.4512833297252655,1.271845817565918,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
8,1.2826321125030518,785235,0.24755942821502686,70,-0.5501845598220825,1.076616644859314,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
9,1.2826321125030518,785235,0.24755942821502686,75,0.6914584636688232,1.2666594982147217,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
10,1.2826321125030518,785235,0.24755942821502686,80,0.4069509983062744,0.9519109725952148,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
11,1.2826321125030518,785235,0.24755942821502686,85,0.027863895893096922,1.0872852802276611,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
12,1.3026796579360962,772895,0.22751188278198242,90,-0.19012604653835297,1.3026796579360962,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
13,1.3026796579360962,772895,0.22751188278198242,95,-0.08459515571594238,0.8743151426315308,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
14,1.3026796579360962,772895,0.22751188278198242,100,-0.33596594631671906,0.9541281461715698,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
15,1.3026796579360962,772895,0.22751188278198242,105,0.7273673951625824,0.9985347390174866,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
16,1.3026796579360962,772895,0.22751188278198242,110,0.18312823325395583,0.5045490264892578,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
17,1.3026796579360962,772895,0.22751188278198242,115,0.13755759075284005,1.0397964715957642,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
18,1.3026796579360962,772895,0.22751188278198242,120,0.2531197786331177,0.8365574479103088,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
19,1.3026796579360962,772895,0.22751188278198242,125,-0.12461057156324387,0.2503179907798767,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
20,1.3026796579360962,772895,0.22751188278198242,130,0.4882443338632584,0.782413899898529,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
21,1.3026796579360962,772895,0.22751188278198242,135,0.058718955516815184,0.887681245803833,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
22,1.3026796579360962,772895,0.22751188278198242,140,-0.7125789433717727,0.4420567750930786,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
23,1.3026796579360962,772895,0.22751188278198242,145,-0.33620944768190386,1.1279187202453613,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
24,1.3026796579360962,772895,0.22751188278198242,150,0.09448071867227555,0.8731663227081299,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
25,1.3026796579360962,772895,0.22751188278198242,155,-0.7092255055904388,0.5272464752197266,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
26,1.3026796579360962,772895,0.22751188278198242,160,-0.370336452126503,0.2646363377571106,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
27,1.3026796579360962,772895,0.22751188278198242,165,0.18434993624687196,1.045473337173462,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
28,1.3026796579360962,772895,0.22751188278198242,170,0.18067190051078796,1.028843641281128,random_search,500hpa,100,1,1.5301915407180786,1038240,2075040,3.85000199847432e-06
