,,best_value,best_value,best_value,regret,regret,regret,iteration
,,mean,std,max,mean,std,min,count
dataset,algorithm,,,,,,,
enron,bfs,4.7535,0.5998,5.0167,0.273,0.5998,0.0098,500
enron,dfs,4.3211,0.7123,4.7753,0.7054,0.7123,0.2512,500
enron,random_search,2.7936,0.607,4.9374,2.2329,0.607,0.0891,500
enron,sparse_grf,4.7093,0.6678,5.0265,0.3172,0.6678,0.0,500
facebook,bfs,2.6347,0.7995,3.7562,1.1215,0.7995,0.0,500
facebook,dfs,2.5663,0.8679,3.6853,1.1899,0.8679,0.071,500
facebook,random_search,1.9668,0.406,2.5196,1.7895,0.406,1.2367,500
facebook,sparse_grf,3.4287,0.4126,3.7562,0.3275,0.4126,0.0,500
twitch,bfs,4.7388,0.5916,5.1094,0.3706,0.5916,0.0,500
twitch,dfs,4.1689,0.8642,5.1094,0.9405,0.8642,0.0,500
twitch,random_search,2.3076,0.723,4.2799,2.8018,0.723,0.8295,500
twitch,sparse_grf,4.3103,0.8369,4.6368,0.7991,0.8369,0.4726,500
youtube,bfs,8.2017,1.9358,9.7875,1.5858,1.9358,0.0,500
youtube,dfs,6.1428,1.9667,8.753,3.6447,1.9667,1.0345,500
youtube,random_search,3.3719,1.0256,4.7046,6.4156,1.0256,5.0829,500
youtube,sparse_grf,8.1711,0.6796,9.7875,1.6164,0.6796,0.0,500
