,,best_value,best_value,best_value,regret,regret,regret,iteration
,,mean,std,max,mean,std,min,count
dataset,algorithm,,,,,,,
1000hpa_wide,bfs,3.8121,0.1109,3.9771,0.1649,0.1109,-0.0,500
1000hpa_wide,dfs,3.8103,0.1097,3.9771,0.1668,0.1097,-0.0,500
1000hpa_wide,random_search,3.8143,0.1099,3.9771,0.1628,0.1099,-0.0,500
1000hpa_wide,sparse_grf,3.804,0.1025,3.9771,0.1731,0.1025,-0.0,500
500hpa_wide,bfs,2.8573,0.2489,3.1645,0.3072,0.2489,-0.0,500
500hpa_wide,dfs,2.8501,0.2536,3.1645,0.3144,0.2536,-0.0,500
500hpa_wide,random_search,2.8832,0.2626,3.1645,0.2813,0.2626,-0.0,500
500hpa_wide,sparse_grf,2.7995,0.2532,3.1645,0.365,0.2532,-0.0,500
800hpa_wide,bfs,3.5844,0.132,3.9463,0.3619,0.132,-0.0,500
800hpa_wide,dfs,3.5846,0.1319,3.9463,0.3617,0.1319,-0.0,500
800hpa_wide,random_search,3.577,0.1347,3.9463,0.3693,0.1347,-0.0,500
800hpa_wide,sparse_grf,3.5773,0.1354,3.9463,0.3691,0.1354,-0.0,500
