iteration,best_value,best_point,regret,dataset_size,batch_mean,batch_max,algorithm,dataset,bo_seed,bo_run,ground_truth_best,n_nodes,n_edges,density
1,2.1215227705133826,8177,1.0429425604408888,20,0.39797491535196416,2.1215227705133826,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
2,2.1215227705133826,8177,1.0429425604408888,30,0.44578905324793394,1.7583066899824373,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
3,2.1215227705133826,8177,1.0429425604408888,40,-0.36886495773743383,0.9646239107144036,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
4,2.1215227705133826,8177,1.0429425604408888,50,0.3114626422931077,1.974160354115932,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
5,2.1215227705133826,8177,1.0429425604408888,60,0.31663616254271626,1.675772216216531,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
6,2.4517018045740224,7634,0.712763526380249,70,0.5980286135516802,2.4517018045740224,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
7,2.4517018045740224,7634,0.712763526380249,80,-0.24186677552009256,1.713828165702023,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
8,2.4517018045740224,7634,0.712763526380249,90,-0.6866339500268985,0.18409720231668886,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
9,2.4517018045740224,7634,0.712763526380249,100,0.014427440490970106,1.9609042352184565,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
10,2.4517018045740224,7634,0.712763526380249,110,0.11920790593736807,1.6949548474439153,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
11,2.4517018045740224,7634,0.712763526380249,120,0.4533980244888907,2.1641546717454307,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
12,2.4517018045740224,7634,0.712763526380249,130,0.164275235740124,2.070860763141012,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
13,2.4517018045740224,7634,0.712763526380249,140,-0.1682532121996357,1.7081862305890614,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
14,3.1644653309542714,4426,0.0,150,0.2982320342893855,3.1644653309542714,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
15,3.1644653309542714,4426,0.0,160,-0.5921357801480557,1.4000773439843226,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
16,3.1644653309542714,4426,0.0,170,0.0510116956766611,1.8302627883924658,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
17,3.1644653309542714,4426,0.0,180,-0.07808736348284778,2.2323380517673774,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
18,3.1644653309542714,4426,0.0,190,-0.19308857895284204,1.43367662705597,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
19,3.1644653309542714,4426,0.0,200,-0.2133330874071727,1.4001710424158444,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
20,3.1644653309542714,4426,0.0,210,-0.06513869777808896,2.1665941738679297,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
21,3.1644653309542714,4426,0.0,220,0.23021230754739114,1.7175737942184162,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
22,3.1644653309542714,4426,0.0,230,-0.2103056054805347,1.6619901426287504,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
23,3.1644653309542714,4426,0.0,240,0.29620786025814466,2.153011350642155,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
24,3.1644653309542714,4426,0.0,250,0.6196870734068317,2.0530318900099958,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
25,3.1644653309542714,4426,0.0,260,0.19223574303929425,1.4542706363920341,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
26,3.1644653309542714,4426,0.0,270,-0.17346918490587393,0.6984742658939672,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
27,3.1644653309542714,4426,0.0,280,-0.15441629996090314,1.559544022096893,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
28,3.1644653309542714,4426,0.0,290,-0.2862410376717624,1.8416998147381607,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
29,3.1644653309542714,4426,0.0,300,-0.4890000657771883,1.4803376077598227,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
30,3.1644653309542714,4426,0.0,310,-0.14785819752776722,1.6355579827067632,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
