seed,model,walks_per_node,lml,rmse,nlpd,variance
1113,A-GRF,1,-354.3907129869722,15.0454263951486,95.64932062890009,0.9000527824224804
1113,A-GRF,2,-354.11791332067656,15.011033744338647,95.63011898969327,0.0024170447414028815
1113,A-GRF,4,-354.02883940105966,15.069755488282839,96.5053597966416,0.010092420565276055
1113,A-GRF,8,-353.85087588791845,15.01073744314172,96.5290265468176,0.010637030865840691
1113,A-GRF,16,-351.055555595397,14.372843178141872,94.39137429477299,2.367383772401848e-06
1113,A-GRF,32,-350.1487907029347,14.658229887117145,94.41386522645728,0.5702789811706772
1113,A-GRF,64,-350.2686122724345,14.145026093331694,91.00683435016013,0.5485209499391511
1113,A-GRF,128,-347.41843393984317,13.9145674488955,89.75609654533642,0.39562609000756593
1113,A-GRF,256,-344.96316623475155,13.704819095850135,86.65677215625645,0.19713637444196963
1113,A-GRF,512,-348.5352004025141,13.642533549606878,87.68541332733358,0.010069244767503285
1113,A-GRF,1024,-348.30161920749697,13.680804848886776,88.12268441418051,0.010073650756957075
1113,A-GRF,2048,-342.2568306258216,12.838924083844336,90.24933101029785,0.3094819977466457
1113,A-GRF,4096,-345.4389394805249,13.434829963758517,85.84086498619384,0.010096419951302083
1113,A-GRF,8192,-336.11775895564637,13.317659260693619,87.99465815929312,1.1428985504479584e-06
