seed,model,wpn,lml,mse_obs,rmse_obs,nlpd_obs,learned_noise_var,n_train,n_test
107,Diffusion,,32.901912178802604,0.06320508578260414,0.2514062166745368,0.5167955145195855,0.006948433665397882,90,810
107,GRF(wpn=2),2.0,25.14554398050072,0.05315399986864993,0.23055151239722962,0.055479194410732374,0.009163822457751908,90,810
107,GRF-ablation(wpn=2),2.0,-9.625835097332711,0.05295391803660628,0.2301171832710593,0.15715085471927845,0.009355265699867561,90,810
107,GRF(wpn=4),4.0,28.866858581931055,0.05321278632951861,0.2306789681126535,0.10712506380390993,0.009112294470697668,90,810
107,GRF-ablation(wpn=4),4.0,9.810465096628775,0.054444698612658333,0.23333387797887029,0.046886807673065994,0.009381126234619116,90,810
107,GRF(wpn=8),8.0,29.975241343182006,0.05349570330894771,0.23129138183025263,0.15912566894230698,0.0057499942571702664,90,810
107,GRF-ablation(wpn=8),8.0,7.947420100564031,0.05367895847323777,0.23168719963182638,0.020078239601105538,0.009372832846818576,90,810
107,GRF(wpn=16),16.0,33.527832550630535,0.05259346083936317,0.22933264233284187,0.26449347567091736,0.006031906320310936,90,810
107,GRF-ablation(wpn=16),16.0,14.889775121953903,0.053442553485836444,0.23117645530165143,-0.033480672372517485,0.009352083201260806,90,810
107,GRF(wpn=32),32.0,27.234755328278453,0.054419163173572586,0.23327915289106438,0.10594277253046004,0.0070753962870222335,90,810
107,GRF-ablation(wpn=32),32.0,22.26725901007879,0.05326552686558989,0.23079325567613515,-0.030904690639962918,0.009333188331628536,90,810
107,GRF(wpn=64),64.0,32.36502973360899,0.05568607547122177,0.23597897251920938,0.19192094279176986,0.0055564419856402114,90,810
107,GRF-ablation(wpn=64),64.0,27.026713913871845,0.05438311420985974,0.23320187437038267,0.015143582785853732,0.009302393304067399,90,810
107,GRF(wpn=128),128.0,32.27596319687359,0.05481149333007436,0.23411854546377645,0.18821927059475965,0.005381292035181039,90,810
107,GRF-ablation(wpn=128),128.0,29.170971090144363,0.05649742559594229,0.2376918711187707,0.0992259294095359,0.009268363860316218,90,810
107,GRF(wpn=256),256.0,31.772582011137715,0.057302796926047554,0.23938002616352008,0.22556259621635236,0.006282930361329162,90,810
107,GRF-ablation(wpn=256),256.0,27.184522290510273,0.0567921711917708,0.23831108071546064,0.13545236158687446,0.009365821972488975,90,810
107,GRF(wpn=512),512.0,29.70970831541709,0.055493937172668095,0.2355715118019751,0.134664808826153,0.006227973518852213,90,810
107,GRF-ablation(wpn=512),512.0,-103.17045346633017,0.05684603008822323,0.23842405517947057,1.1266057517247665,0.009423014469672253,90,810
107,GRF(wpn=1024),1024.0,30.57840604621724,0.0554523205220611,0.23548316398855587,0.17953475528968302,0.006459273548308258,90,810
107,GRF-ablation(wpn=1024),1024.0,28.124369430143872,0.057654032217227105,0.2401125407329386,0.15913418164740414,0.009143167069264484,90,810
107,GRF(wpn=2048),2048.0,33.756953134246004,0.06021612327235063,0.24538973750413978,0.3865003406931279,0.0050628187077807075,90,810
107,GRF-ablation(wpn=2048),2048.0,29.848394241611288,0.05712836568144023,0.2390154088786751,0.15380777212211844,0.00916658095621307,90,810
107,GRF(wpn=4096),4096.0,37.95561759434371,0.05864612285776319,0.2421696158847414,0.38823025300911385,0.004634481197740626,90,810
107,GRF-ablation(wpn=4096),4096.0,14.314234585852503,0.05426894255250243,0.2329569542909214,-0.02810144818583724,0.009309287751859657,90,810
107,GRF(wpn=8192),8192.0,34.44175210907531,0.06055378545178176,0.24607678771428595,0.42660571526058566,0.005089797113483522,90,810
107,GRF-ablation(wpn=8192),8192.0,16.866238220254814,0.05427535805069893,0.23297072359139662,-0.031029464794321285,0.009309722726231949,90,810
