seed,model,walks_per_node,lml,rmse,nlpd,beta,sigma_f,variance
1114,GRF,1,-354.9403855641131,17.473235914480036,111.63173142761141,0.9104384284698046,0.44655604763613455,0.6695369305682918
1114,GRF,2,-353.2931045122401,17.054921885367683,106.87102951269542,0.13839822953939326,1.0353215251506367,0.06454015009848088
1114,GRF,4,-353.4615304156368,16.892673151306244,106.62562158738717,0.16310587118630782,1.042013669772024,0.06431607948276787
1114,GRF,8,-355.9667725326535,17.368034541094858,106.9186345582766,3.0690840039043152,0.14086518563618877,0.7169188239320029
1114,GRF,16,-346.3751052014898,16.815453900045565,110.60973202639167,0.6602263242228513,1.2542530811581691,0.06193283108882782
1114,GRF,32,-348.7447021043957,16.747428582127515,105.66082437217125,0.6803462392035281,1.256742816174507,0.06439365045275448
1114,GRF,64,-349.56280231186275,16.75282327056478,105.77735239612603,0.6827137475660803,1.2639942622085725,0.0646608312167159
1114,GRF,128,-345.5036593059674,16.850901938422894,105.262576217931,1.0094025005784393,1.3958430911373667,0.06308070209055988
1114,GRF,256,-345.95531060530374,16.4785072970587,105.85404862169996,1.074029821673739,1.413592542965708,0.06240367683291271
1114,GRF,512,-342.5982460302105,16.16135623577635,112.02352063331425,1.541512655483795,1.5329072045230066,0.06964986407839138
1114,GRF,1024,-341.6692884053102,15.912301117603262,103.58705963471257,1.7570727651464177,1.5642479736779278,0.07272877887510613
1114,GRF,2048,-343.83488731269995,16.151743561987836,105.30203105367002,1.501764883446719,1.5242770349409351,0.07037986834047336
1114,GRF,4096,-342.5717833305327,15.685826242003873,103.44787448083048,1.8614964103128542,1.5915010942796641,0.07229232643132927
1114,GRF,8192,-341.81589052911784,15.622797020851616,100.27861312541124,1.9488018289388465,1.5909264346578311,0.07074898773642578
