seed,model,walks_per_node,lml,rmse,nlpd,variance
1115,A-GRF,1,-353.4207732451496,14.85803388269677,96.44473722493454,0.4706164639348128
1115,A-GRF,2,-351.0381353249278,15.047490325659917,95.32591338277483,0.18566457443407125
1115,A-GRF,4,-352.2365865616972,15.497563235879202,97.34676550763552,0.5860390305864622
1115,A-GRF,8,-353.3222369509164,14.933395609211523,96.16902945610737,0.19319519142725108
1115,A-GRF,16,-353.3572975848495,14.724337793728294,95.0048696484592,0.19366601710936504
1115,A-GRF,32,-350.1084486024191,14.372935990160203,94.03572010556228,0.19870002128770908
1115,A-GRF,64,-349.9020336566712,14.239195177051418,92.09108892582951,0.19412989798523422
1115,A-GRF,128,-349.5924896576992,13.083902439300001,88.15618759619144,0.2857843514086914
1115,A-GRF,256,-349.5077418286648,13.16993081027818,87.38547195329383,0.36250228474257107
1115,A-GRF,512,-342.4886287224668,12.696773676091421,85.4967728253783,0.19589418101312317
1115,A-GRF,1024,-343.01220584018785,12.509968232333067,86.39893030838687,0.17278564150044856
1115,A-GRF,2048,-343.36306640840877,12.54938689580996,84.53127128879207,0.17931565135576072
1115,A-GRF,4096,-348.220566239807,12.998729586990349,87.56425288214821,0.21427282127598646
1115,A-GRF,8192,-340.9612345845422,11.963879726014753,82.65595124753233,0.1634270597851092
