seed,model,walks_per_node,lml,rmse,nlpd,variance
1113,A-GRF,1,-353.33198461482493,14.637670037465805,94.32007486976042,0.6034278210481611
1113,A-GRF,2,-351.8097689397349,14.78336398368128,94.24354354180511,0.1351730644804587
1113,A-GRF,4,-353.06048778861214,15.040922051127438,96.05235461021653,0.13761421565993287
1113,A-GRF,8,-353.0243260479308,14.945442534962988,95.51880000742304,0.7096168036944284
1113,A-GRF,16,-352.2303012232953,13.669345525430387,91.96280499809075,0.437891849995383
1113,A-GRF,32,-349.9543316629062,14.537478365508473,93.95871700812107,0.13967119211325404
1113,A-GRF,64,-348.86404136236877,14.235342710057001,92.23385094913567,0.14022585338150464
1113,A-GRF,128,-348.67632176746866,13.825239661522609,92.06626411951524,0.1413078556367167
1113,A-GRF,256,-343.3485030412293,14.526096827240702,93.60321438817189,0.13513777283467335
1113,A-GRF,512,-344.4282666650015,13.681830877424327,90.78130207810933,0.15344778741745424
1113,A-GRF,1024,-345.4765614673197,13.448479022567227,88.42331956322246,0.1604979758235935
1113,A-GRF,2048,-345.09304461301446,13.335083623001772,87.32627115125767,0.15257602535112752
1113,A-GRF,4096,-345.81632787231814,13.572202314952143,88.19512890396334,0.1521883582137791
1113,A-GRF,8192,-343.7078619883553,13.18166943210147,86.98710284886377,0.14599478175279804
