iteration,loss
0,397.342838394659
1,395.0515589527763
2,392.88466040693174
3,390.85935343157195
4,388.97114727693713
5,387.20602031189475
6,385.5629472197676
7,384.03861907067846
8,382.63429402650416
9,381.34452857643237
10,380.15350850072105
11,379.0525405148398
12,378.04037504149545
13,377.11177956270495
14,376.2583986921054
15,375.46768081698997
16,374.73290360169005
17,374.0474866984956
18,373.4077729465633
19,372.8087244936872
20,372.2425286810056
21,371.702784264368
22,371.1884736572353
23,370.6997300181616
24,370.2333098724721
25,369.78468737175706
26,369.35245841639113
27,368.93791641802153
28,368.54096101488693
29,368.1590763629182
30,367.7904949830361
31,367.43570525163693
32,367.0951746756618
33,366.76766526968663
34,366.4514774830487
35,366.14595844761254
36,365.85113580235975
37,365.56658724049333
38,365.29116978503953
39,365.02377399090267
40,364.7640101926496
41,364.5118113021471
42,364.26662718391026
43,364.027590492959
44,363.79428444475934
45,363.5667250513445
46,363.3447288372315
47,363.1278341844622
48,362.9157945052975
49,362.7086988996233
50,362.5065497766991
51,362.30909479182185
52,362.1162044501132
53,361.9280306114342
54,361.7446257063203
55,361.5658096453368
56,361.39151313332
57,361.2218491431863
58,361.0568286480064
59,360.89631339030643
60,360.7402275050358
61,360.58860193396464
62,360.44140296325
63,360.2984970717528
64,360.15980448206994
65,360.02530771123065
66,359.8949179631117
67,359.7685038884377
68,359.6459949567672
69,359.5273279351613
70,359.4123845593927
71,359.3010515709378
72,359.1932541999435
73,359.08890513720837
74,358.9878898008882
75,358.8901108488134
76,358.7954894202077
77,358.7039292266774
78,358.61532740344114
79,358.5295998676795
80,358.4466643427492
81,358.36642434613043
82,358.28879040980286
83,358.2136862356819
84,358.1410260914227
85,358.07071932844224
86,358.00268809559185
87,357.9368567465935
88,357.87314281660184
89,357.8114680718206
90,357.75176248663354
91,357.6939545020032
92,357.63797160072966
93,357.5837483315962
94,357.5312215903417
95,357.4803273331446
96,357.4310062436474
97,357.38320207446753
98,357.33685865855307
99,357.2919226727147
100,357.24834389719547
101,357.20607307865436
102,357.16506230585964
103,357.1252665668428
104,357.0866423438103
105,357.049146790401
106,357.0127392419292
107,356.9773808443389
108,356.94303334375866
109,356.9096600907113
110,356.87722629318836
111,356.84569783333126
112,356.81504178466474
113,356.78522683100226
114,356.7562224782967
115,356.7279992348518
116,356.70052886697323
117,356.6737840863705
118,356.6477384890531
119,356.6223666905965
120,356.59764424426055
121,356.57354750549683
122,356.55005371660116
123,356.52714100419036
124,356.50478824897993
125,356.48297512709473
126,356.46168211228184
127,356.4408903813616
128,356.4205818398094
129,356.4007391064432
130,356.381345448543
131,356.3623848025578
132,356.3438417274273
133,356.3257013754194
134,356.3079494894801
135,356.29057236950234
136,356.27355685554204
137,356.2568903074881
138,356.2405606001278
139,356.2245560838434
140,356.2088655792155
141,356.1934783666933
142,356.1783841511767
143,356.16357305411293
144,356.1490355975551
145,356.13476268705324
146,356.1207455900023
147,356.10697592669186
148,356.0934456540288
149,356.0801470490969
150,356.06707269880576
151,356.0542154847651
152,356.04156857422896
153,356.029125405591
154,356.01687967762297
155,356.0048253419742
156,355.9929565887522
157,355.9812678408006
158,355.9697537422564
159,355.95840914955295
160,355.9472291238101
161,355.93620892081924
162,355.9253439842876
163,355.91462993720626
164,355.9040625741469
165,355.89363785483874
166,355.883351896706
167,355.87320096736516
168,355.86318147964977
169,355.8532899844797
170,355.84352316533875
171,355.83387783262947
172,355.8243509180316
173,355.81493946971295
174,355.8056406469469
175,355.79645171552914
176,355.7873700434144
177,355.77839309602734
178,355.76951843231365
179,355.7607437005188
180,355.7520666345298
181,355.74348505015996
182,355.7349968415301
183,355.7265999779192
184,355.71829250027884
185,355.71007251837864
186,355.7019382078106
187,355.6938878070546
188,355.68591961504757
189,355.67803198847366
190,355.67022333933573
191,355.66249213271146
192,355.654836884454
193,355.64725615910595
194,355.63974856789184
195,355.63231276672434
196,355.62494745439534
197,355.61765137082136
198,355.6104232952647
199,355.6032620448079
200,355.59616647275783
201,355.58913546716
202,355.58216794940193
203,355.575262872848
