graph_size,beta_exp,seed,degree,data_fit,complexity,constant,fro
20,10.0,0,10,[[-9.67070765]],74.74938938363582,-18.37877066409345,0.4820464982381408
20,10.0,1,1,[[-10.00000004]],20.725846735765,-18.37877066409345,1.8339333186723286
20,10.0,1,2,[[-9.12042803]],57.76612847941225,-18.37877066409345,5.209164909705046
20,10.0,1,3,[[-7.84073653]],75.33237453925852,-18.37877066409345,1.4687538159460554
20,10.0,1,4,[[-8.90021427]],79.82145211909801,-18.37877066409345,0.181335910988741
20,10.0,1,5,[[-8.62843715]],80.27354211552256,-18.37877066409345,0.5448112246060354
20,10.0,1,6,[[-8.45759969]],80.43995008243394,-18.37877066409345,0.774671777713587
20,10.0,1,7,[[-7.91023912]],80.54529354480626,-18.37877066409345,0.8209609379235393
20,10.0,1,8,[[-8.71091506]],80.27067638094532,-18.37877066409345,0.5192112094369831
20,10.0,1,9,[[-8.62051815]],79.68649025513814,-18.37877066409345,0.01596872327061069
20,10.0,1,10,[[-7.73200632]],79.80587642849427,-18.37877066409345,0.06591193057039367
20,10.0,2,1,[[-9.99999928]],43.9881902103105,-18.37877066409345,18.14176833398408
20,10.0,2,2,[[-8.03065017]],72.07152260956757,-18.37877066409345,38.13970067806114
20,10.0,2,3,[[-8.73326674]],71.12676052082551,-18.37877066409345,25.621664671898284
20,10.0,2,4,[[-8.18626617]],79.00525615371026,-18.37877066409345,4.93159770715386
20,10.0,2,5,[[-7.95214375]],79.07550143434511,-18.37877066409345,3.2992687339899285
20,10.0,2,6,[[-7.74888578]],78.72552283239017,-18.37877066409345,3.9909260782656433
20,10.0,2,7,[[-7.72640224]],79.11834521312636,-18.37877066409345,0.5431297434083031
20,10.0,2,8,[[-7.90431058]],78.93070652713146,-18.37877066409345,4.390067773031495
20,10.0,2,9,[[-7.06937828]],79.10678349184433,-18.37877066409345,0.42284516718999576
20,10.0,2,10,[[-7.94538672]],79.04292319899147,-18.37877066409345,3.655206101656199
20,10.0,3,1,[[-9.9999998]],18.94621723034608,-18.37877066409345,1.5957293056841981
20,10.0,3,2,[[-9.24912858]],54.383070158113874,-18.37877066409345,4.116433994780672
20,10.0,3,3,[[-7.89811139]],73.42619389548449,-18.37877066409345,1.990048871908331
20,10.0,3,4,[[-8.26501778]],79.65203173904888,-18.37877066409345,0.3647179346474739
20,10.0,3,5,[[-8.45627097]],79.93925752179041,-18.37877066409345,0.5233274890972435
20,10.0,3,6,[[-7.8613512]],79.78349768352747,-18.37877066409345,0.4094686264869956
20,10.0,3,7,[[-8.12328491]],80.42082545596351,-18.37877066409345,0.7142052834146029
20,10.0,3,8,[[-8.50857295]],79.67461497189,-18.37877066409345,0.2798316944272621
20,10.0,3,9,[[-8.15240773]],79.67761258847943,-18.37877066409345,0.501127866101402
20,10.0,3,10,[[-8.22009842]],79.67994658138053,-18.37877066409345,0.4485829129968523
20,10.0,4,1,[[-10.]],82.83579659359918,-18.37877066409345,1464.7899175919658
20,10.0,4,2,[[-10.26314534]],84.6729194721017,-18.37877066409345,1200.2336560565238
20,10.0,4,3,[[-9.79171481]],85.15915775104239,-18.37877066409345,367.76432216247395
20,10.0,4,4,[[-9.17423376]],85.03718606659376,-18.37877066409345,609.4459183828773
20,10.0,4,5,[[-9.15808908]],84.98797511074453,-18.37877066409345,648.5715554681002
20,10.0,4,6,[[-8.86473266]],84.8533534995891,-18.37877066409345,644.590751450848
20,10.0,4,7,[[-10.12793885]],84.7801130384123,-18.37877066409345,251.78804093855913
20,10.0,4,8,[[-8.97175123]],84.94616799297059,-18.37877066409345,643.4608665050422
20,10.0,4,9,[[-9.42318752]],85.01298387290504,-18.37877066409345,657.576937361826
20,10.0,4,10,[[-8.86032085]],84.85509118039714,-18.37877066409345,646.5254529424926
40,0.01,0,1,[[-20.00000248]],-3.994412381585199,-36.7575413281869,0.23070787893939096
40,0.01,0,2,[[-19.99987601]],2.878095516307149,-36.7575413281869,0.6961793913413848
40,0.01,0,3,[[-20.00120682]],3.0273433856435155,-36.7575413281869,0.5939683127041478
40,0.01,0,4,[[-20.00077907]],3.026957026017576,-36.7575413281869,0.5954409012539703
40,0.01,0,5,[[-20.00012516]],3.1163540017795293,-36.7575413281869,0.6086335590254139
40,0.01,0,6,[[-19.99919261]],2.28766431832721,-36.7575413281869,0.6407399274805343
40,0.01,0,7,[[-19.99974839]],3.486823739143521,-36.7575413281869,0.6606745180982677
40,0.01,0,8,[[-20.04706873]],-3.1779404070999924,-36.7575413281869,0.9365743704959809
40,0.01,0,9,[[-20.01314855]],-2.6402375958544697,-36.7575413281869,0.7634652127713079
40,0.01,0,10,[[-20.00047411]],4.799096181918075,-36.7575413281869,0.6142979232035822
40,0.01,1,1,[[-19.99999995]],1.4690245321759996,-36.7575413281869,0.06635692183344483
40,0.01,1,2,[[-19.99996558]],2.2051629370430654,-36.7575413281869,0.28064365858932244
40,0.01,1,3,[[-20.00004965]],2.2743754680533144,-36.7575413281869,0.2239472499377647
40,0.01,1,4,[[-19.999937]],3.08365674661654,-36.7575413281869,0.38070456842184025
40,0.01,1,5,[[-20.00008492]],3.659349844750666,-36.7575413281869,0.34518625961585364
40,0.01,1,6,[[-19.9991521]],3.630710313255846,-36.7575413281869,0.3609670702846509
40,0.01,1,7,[[-19.99700994]],3.549072762604815,-36.7575413281869,0.37944199409432605
40,0.01,1,8,[[-20.00074691]],3.7160365718832495,-36.7575413281869,0.3281689725176145
40,0.01,1,9,[[-19.99975109]],5.312696868865808,-36.7575413281869,0.35515133778086
40,0.01,1,10,[[-19.99072445]],5.511415195171369,-36.7575413281869,0.35754954106565023
40,0.01,2,1,[[-20.00000612]],-2.073882283000215,-36.7575413281869,0.09842226782547095
40,0.01,2,2,[[-20.00000324]],-2.031063100569607,-36.7575413281869,0.11454500241397857
40,0.01,2,3,[[-19.99991878]],-1.9566207982587933,-36.7575413281869,0.15204309154729817
40,0.01,2,4,[[-19.99998496]],-1.9352419377409817,-36.7575413281869,0.17178943696724225
40,0.01,2,5,[[-19.99999839]],-0.2816145485083847,-36.7575413281869,0.4765783909199267
40,0.01,2,6,[[-20.00007727]],0.8491598351653347,-36.7575413281869,0.3908760815374047
40,0.01,2,7,[[-19.99994192]],0.8691716241212715,-36.7575413281869,0.40604555582698254
40,0.01,2,8,[[-19.99984583]],0.8154672259956334,-36.7575413281869,0.4235710860353147
40,0.01,2,9,[[-20.00005041]],0.668086238943064,-36.7575413281869,0.4429068274142201
40,0.01,2,10,[[-20.00113202]],-1.165715142434022,-36.7575413281869,0.9873282404511511
40,0.01,3,1,[[-20.00000084]],-0.5018086326114826,-36.7575413281869,0.06119547020016918
40,0.01,3,2,[[-19.99997406]],-0.0896683357778151,-36.7575413281869,0.2207331687878879
40,0.01,3,3,[[-19.99998056]],-0.023677774087792397,-36.7575413281869,0.22517425085831777
40,0.01,3,4,[[-19.99995984]],0.3592268488958785,-36.7575413281869,0.44436156213852557
40,0.01,3,5,[[-20.00001599]],0.9024343675508324,-36.7575413281869,0.2649014889865314
40,0.01,3,6,[[-20.00276636]],0.8230664810679691,-36.7575413281869,0.2626156731096042
40,0.01,3,7,[[-20.00025569]],1.033397458450647,-36.7575413281869,0.3174040135079572
40,0.01,3,8,[[-20.00285282]],0.9538665168315131,-36.7575413281869,0.3059942005463097
40,0.01,3,9,[[-20.00192315]],-3.504383994624522,-36.7575413281869,0.751841012326881
40,0.01,3,10,[[-19.98646175]],-2.6733458246665447,-36.7575413281869,0.4879780051376477
40,0.01,4,1,[[-20.0000022]],-0.936389979437462,-36.7575413281869,0.04565559098520567
40,0.01,4,2,[[-19.99998413]],-0.9204320844822929,-36.7575413281869,0.06167140278090723
40,0.01,4,3,[[-19.99995649]],-0.7591064005594812,-36.7575413281869,0.17044911650393202
40,0.01,4,4,[[-19.99997172]],0.28260073049345646,-36.7575413281869,0.27122696195898194
40,0.01,4,5,[[-19.9998852]],0.3286687300061666,-36.7575413281869,0.2688096151684862
40,0.01,4,6,[[-20.00038966]],0.31497269249162607,-36.7575413281869,0.26768073381454704
40,0.01,4,7,[[-19.99994898]],0.40535408972030534,-36.7575413281869,0.2976434784821072
40,0.01,4,8,[[-20.00114626]],0.4308876682235303,-36.7575413281869,0.29676610993920477
40,0.01,4,9,[[-19.99995996]],0.471566184925711,-36.7575413281869,0.29968836782615943
40,0.01,4,10,[[-19.98747388]],0.19696812383153905,-36.7575413281869,0.9628690939501562
40,0.1,0,1,[[-20.00000616]],-2.614483179059122,-36.7575413281869,0.250964513356065
40,0.1,0,2,[[-19.99988288]],4.647889052559987,-36.7575413281869,0.6852993812680849
40,0.1,0,3,[[-20.00011748]],4.741893669021243,-36.7575413281869,0.6017604772140908
40,0.1,0,4,[[-20.00015346]],4.74223256013006,-36.7575413281869,0.6040758419316625
40,0.1,0,5,[[-20.06888652]],0.1215038388487737,-36.7575413281869,0.9870323787601217
40,0.1,0,6,[[-20.00106801]],6.772129213749199,-36.7575413281869,0.6541946136493765
40,0.1,0,7,[[-20.00399906]],4.793725834032314,-36.7575413281869,0.6078441889000142
40,0.1,0,8,[[-19.99697006]],3.9083799311601144,-36.7575413281869,0.6291370768234786
40,0.1,0,9,[[-19.98840792]],-6.374641315491736,-36.7575413281869,0.9789961453397299
40,0.1,0,10,[[-20.01489774]],-1.6465214833005226,-36.7575413281869,0.709175017180007
40,0.1,1,1,[[-19.99999998]],3.3755346391307346,-36.7575413281869,0.07866952582021516
40,0.1,1,2,[[-19.99998739]],3.9653846790587606,-36.7575413281869,0.29476402066640484
40,0.1,1,3,[[-20.00002049]],4.082079592840355,-36.7575413281869,0.22825347130815243
40,0.1,1,4,[[-19.99995286]],4.860374533624751,-36.7575413281869,0.3877416708066427
40,0.1,1,5,[[-19.99995918]],5.436124633484247,-36.7575413281869,0.3608623430364345
40,0.1,1,6,[[-19.99989369]],5.407349141961094,-36.7575413281869,0.376418987308876
40,0.1,1,7,[[-20.00037883]],5.465313642345671,-36.7575413281869,0.3453403050913536
40,0.1,1,8,[[-20.00031172]],5.489406455642604,-36.7575413281869,0.3442248392483223
40,0.1,1,9,[[-20.00071052]],5.500433059140634,-36.7575413281869,0.34634984511473255
40,0.1,1,10,[[-20.00201441]],5.491822700438685,-36.7575413281869,0.35070113971025946
40,0.1,2,1,[[-20.0000005]],-0.3324583181052822,-36.7575413281869,0.03458936448179166
40,0.1,2,2,[[-20.00001044]],-0.2346921230793385,-36.7575413281869,0.08969687431525449
40,0.1,2,3,[[-20.00000405]],-0.1367027874421851,-36.7575413281869,0.15766923313851858
40,0.1,2,4,[[-19.99999594]],-0.11430923187202358,-36.7575413281869,0.17545295730952953
40,0.1,2,5,[[-20.00000572]],1.4329985880900624,-36.7575413281869,0.4536224587698696
40,0.1,2,6,[[-20.00010333]],2.554539706800288,-36.7575413281869,0.39891410526235493
40,0.1,2,7,[[-19.99914086]],2.5649257692138203,-36.7575413281869,0.4105728947750909
40,0.1,2,8,[[-19.99955131]],2.5027103133085045,-36.7575413281869,0.4231220956947969
40,0.1,2,9,[[-19.99986771]],2.347959151223798,-36.7575413281869,0.43622421864915134
40,0.1,2,10,[[-20.00118847]],0.6715555380957647,-36.7575413281869,0.9859423645326879
40,0.1,3,1,[[-20.000016]],1.180442844500768,-36.7575413281869,0.07320114324492606
40,0.1,3,2,[[-19.99999601]],1.6964650504048704,-36.7575413281869,0.22297198666807846
40,0.1,3,3,[[-19.99999185]],1.7695051218441404,-36.7575413281869,0.22342336683922748
40,0.1,3,4,[[-19.99955036]],2.134152517233042,-36.7575413281869,0.4175853231603185
40,0.1,3,5,[[-20.00006071]],2.5901331377207093,-36.7575413281869,0.2515567691765966
40,0.1,3,6,[[-20.00291736]],2.516518482129039,-36.7575413281869,0.2523723904636418
40,0.1,3,7,[[-20.00000032]],2.752571442362432,-36.7575413281869,0.30897947952948945
40,0.1,3,8,[[-20.00195863]],1.1568462276283369,-36.7575413281869,0.9259000528338014
40,0.1,3,9,[[-19.99911628]],-1.0540939133611467,-36.7575413281869,0.47293438212925226
40,0.1,3,10,[[-19.98949346]],-1.8663587256748944,-36.7575413281869,0.9542366074155927
40,0.1,4,1,[[-20.00000001]],0.8803903435078199,-36.7575413281869,0.013985469695573674
40,0.1,4,2,[[-19.99997633]],0.8831794790801287,-36.7575413281869,0.029813717341655648
40,0.1,4,3,[[-19.99993233]],1.0611528505178476,-36.7575413281869,0.1668102289900657
40,0.1,4,4,[[-19.99995145]],2.1481741050271133,-36.7575413281869,0.2694395251933143
40,0.1,4,5,[[-20.00009137]],2.2038745714338215,-36.7575413281869,0.2709299288921338
40,0.1,4,6,[[-20.00063781]],2.1880681424124937,-36.7575413281869,0.26894268361841744
40,0.1,4,7,[[-19.99995943]],2.2955458842904957,-36.7575413281869,0.310099850336005
40,0.1,4,8,[[-19.99986083]],2.323970419027615,-36.7575413281869,0.31016226512108874
