n_nodes,seed,n_train,n_test,train_time,inference_time,total_time,test_rmse,noise_variance,modulator_l2
32,42,19,7,4.290090799331665,0.06955742835998535,4.35964822769165,1.0799407958984375,0.1385391652584076,1.9442008
32,43,19,7,3.8700990676879883,0.059546709060668945,3.9296457767486572,1.0012073516845703,0.2815741002559662,1.7857537
32,44,19,7,4.1592137813568115,0.07611513137817383,4.235328912734985,0.7183942198753357,0.016545254737138748,2.5784523
32,45,19,7,3.2537522315979004,0.05170774459838867,3.305459976196289,0.7706103324890137,0.12761235237121582,2.1709805
32,46,19,7,3.009514808654785,0.05758976936340332,3.0671045780181885,0.5992898941040039,0.024862533435225487,2.419767
64,42,38,14,2.857738494873047,0.05227398872375488,2.9100124835968018,0.5846684575080872,0.2428969442844391,2.2767518
64,43,38,14,2.855142593383789,0.05182242393493652,2.9069650173187256,0.5635559558868408,0.10074923932552338,2.5037947
64,44,38,14,3.0032999515533447,0.06019902229309082,3.0634989738464355,0.5677517652511597,0.07325892150402069,2.7956202
64,45,38,14,3.5390501022338867,0.05285024642944336,3.59190034866333,0.5796162486076355,0.22812321782112122,2.8698843
64,46,38,14,3.753671169281006,0.05824780464172363,3.8119189739227295,0.6765208840370178,0.4244566261768341,2.6063223
128,42,76,27,3.8544418811798096,0.05776023864746094,3.9122021198272705,0.5388874411582947,0.7593679428100586,2.9562523
128,43,76,27,3.541931390762329,0.0738973617553711,3.6158287525177,0.4638731777667999,0.057950492948293686,2.4575465
128,44,76,27,3.7324490547180176,0.0573124885559082,3.789761543273926,0.442861407995224,0.5514875054359436,3.0251715
128,45,76,27,4.174695014953613,0.07114553451538086,4.245840549468994,0.48777973651885986,0.03779122233390808,2.788634
128,46,76,27,3.8501038551330566,0.06687760353088379,3.9169814586639404,0.5778616070747375,0.08301340043544769,2.0355916
256,42,153,52,3.968177080154419,0.06027412414550781,4.028451204299927,0.7041851282119751,0.4118525981903076,2.7781212
256,43,153,52,3.7178118228912354,0.06553387641906738,3.7833456993103027,0.6173589825630188,0.058819934725761414,2.2937386
256,44,153,52,3.8427772521972656,0.07738018035888672,3.9201574325561523,0.6394961476325989,0.030172966420650482,2.3620932
256,45,153,52,4.704157590866089,0.08473348617553711,4.788891077041626,0.6753362417221069,0.014637389220297337,2.491182
256,46,153,52,3.4229681491851807,0.07116174697875977,3.4941298961639404,0.6497446894645691,0.029792524874210358,2.547821
