seed,model,wpn,lml,mse_obs,rmse_obs,nlpd_obs,learned_noise_var,n_train,n_test
101,Diffusion,,15.935765961736521,0.07095284540833766,0.26636975317842987,0.4063047010755911,0.007398553810573055,90,810
101,GRF(wpn=2),2.0,8.396945985089062,0.05605355019432369,0.2367563097244162,0.07075114289412723,0.009158946685906957,90,810
101,GRF-ablation(wpn=2),2.0,-16.388114120006392,0.055258157111510095,0.2350705364598254,0.19275294792670827,0.009250573127549972,90,810
101,GRF(wpn=4),4.0,11.895232441941516,0.05562902671696301,0.2358580647698166,0.08682351735436329,0.009163556002511682,90,810
101,GRF-ablation(wpn=4),4.0,-7.506491503540147,0.05575724464367552,0.23612971995002138,0.11035167990399893,0.009303091517464453,90,810
101,GRF(wpn=8),8.0,7.083057659106856,0.057130404141483584,0.23901967312646794,0.08728264907458876,0.007879098050380059,90,810
101,GRF-ablation(wpn=8),8.0,-2.388226980535876,0.05618854541770874,0.23704123147188708,0.049100060220881196,0.009336797562523785,90,810
101,GRF(wpn=16),16.0,11.449972601017564,0.056028177348350895,0.23670271935140688,0.07412706056527467,0.0058936431687189265,90,810
101,GRF-ablation(wpn=16),16.0,4.315186047858873,0.05582709365604727,0.23627757755666803,0.0022423132174582377,0.009249938652224638,90,810
101,GRF(wpn=32),32.0,12.105190061665112,0.05789900828832551,0.24062212759496063,0.06453914591048847,0.006358048302877326,90,810
101,GRF-ablation(wpn=32),32.0,5.48558497248689,0.05760281412600343,0.2400058626909006,0.0060090644983640225,0.00933385383602517,90,810
101,GRF(wpn=64),64.0,12.845141476867497,0.05823326618132717,0.2413156981659651,0.1664546862153871,0.005886608762353061,90,810
101,GRF-ablation(wpn=64),64.0,10.286323460398648,0.06007521349932326,0.24510245510668238,0.04784466132596913,0.009299337309507731,90,810
101,GRF(wpn=128),128.0,11.436257611172664,0.05789571346049571,0.24061528102033694,0.11419090012547066,0.006300009080075672,90,810
101,GRF-ablation(wpn=128),128.0,12.619692040010307,0.06287438630619625,0.2507476546374786,0.12416084925584972,0.009281925309300674,90,810
101,GRF(wpn=256),256.0,13.10478295766876,0.05911357007665839,0.2431328239392172,0.11107095400846374,0.0066644304824286325,90,810
101,GRF-ablation(wpn=256),256.0,13.375926666766233,0.06707783932011309,0.2589938982295009,0.2377891139814037,0.009268803376832384,90,810
101,GRF(wpn=512),512.0,13.729467871501626,0.060393878340961826,0.24575165989462172,0.11053552581137271,0.00564266451667154,90,810
101,GRF-ablation(wpn=512),512.0,13.048107509865474,0.06738556891855786,0.2595873050026866,0.2511863679430277,0.00928590926197086,90,810
101,GRF(wpn=1024),1024.0,19.012528114880553,0.06409019919036747,0.2531604218482176,0.2249453085042449,0.005545728529857618,90,810
101,GRF-ablation(wpn=1024),1024.0,11.107712576453025,0.06162230794859674,0.24823840949497872,0.06653225442755668,0.009097251807356826,90,810
101,GRF(wpn=2048),2048.0,18.536746604978617,0.06752979206464957,0.25986494966549367,0.3309151742383464,0.005167164554478983,90,810
101,GRF-ablation(wpn=2048),2048.0,12.073719279591614,0.06483221391580597,0.25462170747170393,0.1380400699341023,0.009176669398127427,90,810
101,GRF(wpn=4096),4096.0,16.35171029269742,0.0647888584993443,0.25453655631233857,0.22566581708684225,0.006600285495359206,90,810
101,GRF-ablation(wpn=4096),4096.0,14.257542595226539,0.07011561348685512,0.26479352991879374,0.33403971511707004,0.009062084764838501,90,810
101,GRF(wpn=8192),8192.0,18.245140468477445,0.06393216874544039,0.25284811398434515,0.22048089026847914,0.005541150334602339,90,810
101,GRF-ablation(wpn=8192),8192.0,4.286793437322743,0.05923360848802516,0.24337955642992112,0.018133860044797962,0.009317455477295114,90,810
