seed,model,wpn,lml,mse_obs,rmse_obs,nlpd_obs,learned_noise_var,n_train,n_test
104,GRF-ablation(wpn=1024),1024.0,29.715041505175293,0.048707837484136,0.2206985217080894,0.0686822683871415,0.0092011311252651,90,810
104,GRF(wpn=2048),2048.0,26.66142677902792,0.0452924142710476,0.2128201453599909,-0.0122072671379066,0.005600276749861,90,810
104,GRF-ablation(wpn=2048),2048.0,29.164031289223985,0.0493379312076038,0.2221214334718823,0.119364315622336,0.0091356902056677,90,810
104,GRF(wpn=4096),4096.0,29.13591381687212,0.0468590042774421,0.2164694072552565,0.0627692583308924,0.0058482338334833,90,810
104,GRF-ablation(wpn=4096),4096.0,28.344766358666007,0.0503736594439925,0.2244407704584719,0.1267579416003657,0.0091515019019433,90,810
104,GRF(wpn=8192),8192.0,30.0223537080536,0.0455502592136584,0.2134250669758791,0.0197092034077518,0.0049034279102129,90,810
104,GRF-ablation(wpn=8192),8192.0,10.458787367688174,0.0440456279322594,0.2098705027683962,-0.1049242814873565,0.0093046232450106,90,810
105,Diffusion,,27.041038180059644,0.0679158515235207,0.2606066989229569,0.5089521213688429,0.0077566696076787,90,810
105,GRF(wpn=2),2.0,20.343257602600303,0.0556998421197948,0.2360081399439325,0.1097076193987267,0.0091942229387569,90,810
105,GRF-ablation(wpn=2),2.0,-430.4649096553318,5.31491854027435,2.3054107096728664,4.978682355184937,0.0095975042310348,90,810
105,GRF(wpn=4),4.0,19.553757457104965,0.0547892884012359,0.2340711182551918,0.0478458930151495,0.0091867864633993,90,810
105,GRF-ablation(wpn=4),4.0,-5.025824664942263,0.0548182569973097,0.2341329899807153,0.0948869629954469,0.0093346954704196,90,810
105,GRF(wpn=8),8.0,18.96788546295824,0.0578941733055002,0.2406120805477152,0.0696419798703771,0.0071577120786944,90,810
105,GRF-ablation(wpn=8),8.0,6.462122418807269,0.0558442923359155,0.2363139698280986,0.0381540744181582,0.009404679315979,90,810
105,GRF(wpn=16),16.0,20.26058553038719,0.0542379684600567,0.2328904645108011,0.1036390838701975,0.0080279604132612,90,810
105,GRF-ablation(wpn=16),16.0,22.37419240651425,0.06149418141099,0.2479802036675308,0.2225292190771532,0.0092736999487657,90,810
105,GRF(wpn=32),32.0,23.735863985984537,0.0565531227392604,0.237809004748055,0.1980218749618605,0.006437165418657,90,810
105,GRF-ablation(wpn=32),32.0,18.084090829573626,0.0558014364215798,0.2362232766295054,-0.0129807837733728,0.0092820482316153,90,810
105,GRF(wpn=64),64.0,22.84005368922365,0.0563865333692661,0.2374584876757748,0.1283499460149978,0.0061309634096168,90,810
105,GRF-ablation(wpn=64),64.0,22.111257579964374,0.0580421049182286,0.240919291295298,0.0491854919943051,0.0093055835531118,90,810
105,GRF(wpn=128),128.0,23.895034929253683,0.0568171901421781,0.238363567145187,0.1168771541660724,0.0061122324962546,90,810
105,GRF-ablation(wpn=128),128.0,23.382530330718225,0.0591704535170465,0.243249775985604,0.1001710470524443,0.0093299769314051,90,810
105,GRF(wpn=256),256.0,24.756121205903867,0.0595449088321867,0.2440182551207732,0.1830817271173301,0.0056559798815967,90,810
105,GRF-ablation(wpn=256),256.0,24.57450328292217,0.0619955744145655,0.2489891050117767,0.1663600296490954,0.0092666005941073,90,810
105,GRF(wpn=512),512.0,28.93642487782945,0.0623604379115918,0.2497207198283551,0.3055160205500005,0.0052532270845068,90,810
105,GRF-ablation(wpn=512),512.0,25.27439765787237,0.0633689071484015,0.2517318159240136,0.2195045252437192,0.0092751187811546,90,810
105,GRF(wpn=1024),1024.0,26.22310340050697,0.0612028824538855,0.2473921632830869,0.2246727373811633,0.0054408878290913,90,810
105,GRF-ablation(wpn=1024),1024.0,24.967677510008755,0.0641438591559448,0.2532663798374053,0.2393923792525277,0.0092008281973768,90,810
105,GRF(wpn=2048),2048.0,26.287362826998333,0.0634431191227344,0.2518791756432724,0.3264435044029041,0.005496402602337,90,810
105,GRF-ablation(wpn=2048),2048.0,23.723040611483498,0.0645063379734962,0.2539809795506275,0.2553709817761977,0.0091797051396714,90,810
105,GRF(wpn=4096),4096.0,24.768764635785946,0.0574974885091311,0.2397863392879818,0.1361791346806851,0.0056750242326103,90,810
105,GRF-ablation(wpn=4096),4096.0,25.6513695935212,0.0643710034947685,0.2537144132578371,0.25498560971212,0.0090844284305068,90,810
105,GRF(wpn=8192),8192.0,28.197601718501943,0.0638862863966966,0.2527573666516896,0.3856656146705048,0.0061392664882181,90,810
105,GRF-ablation(wpn=8192),8192.0,11.323153565997243,0.059223745269402,0.2433592925478746,0.0140390925446014,0.0092368070033215,90,810
106,Diffusion,,12.903179488215642,0.0915692931294753,0.3026041855782489,0.8312693856808713,0.0124161110569475,90,810
106,GRF(wpn=2),2.0,0.96018878860869,0.0590818271649702,0.2430675362218703,0.0887544259384118,0.0092586255709505,90,810
106,GRF-ablation(wpn=2),2.0,-20.49488906326121,0.0614536611661851,0.2478984896407904,0.2196305362816762,0.0093956613426304,90,810
106,GRF(wpn=4),4.0,-3.483815696269673,0.0610648559719768,0.2471130429013751,0.1009581896871275,0.0087609815576836,90,810
106,GRF-ablation(wpn=4),4.0,-14.972442455300026,0.0582382970498545,0.2413261217727052,0.1241518524761145,0.0093103693625492,90,810
106,GRF(wpn=8),8.0,-5.666773904809432,0.0633013900330446,0.2515976749356889,0.1190095411577401,0.0084262301282207,90,810
106,GRF-ablation(wpn=8),8.0,-9.368066799365067,0.0591635791410251,0.2432356452928417,0.0706928977293571,0.0093544975474839,90,810
106,GRF(wpn=16),16.0,-0.2759046590417426,0.0623827625813606,0.2497654151025731,0.122385322734851,0.0067670248816987,90,810
106,GRF-ablation(wpn=16),16.0,0.1742534553413435,0.0660938292692787,0.2570872016831618,0.0890717324136262,0.0093395302481472,90,810
106,GRF(wpn=32),32.0,4.598721460206463,0.0619211648670204,0.2488396368487554,0.1389166902134802,0.0064843860296512,90,810
106,GRF-ablation(wpn=32),32.0,3.741380976439842,0.0698808467905374,0.2643498568006751,0.1317431893350953,0.0093180751460944,90,810
106,GRF(wpn=64),64.0,6.405767969118401,0.0617359942751259,0.2484672901512912,0.1221305971653234,0.0061853813625381,90,810
106,GRF-ablation(wpn=64),64.0,5.094741452007938,0.0710048501547062,0.26646735288719,0.1560911190043613,0.0093371515286567,90,810
