n_nodes,n_edges,seed,sparse_rw_time,dense_rw_time,sparse_size_mb,dense_size_mb,sparse_dense_equiv_mb,compression_ratio,time_speedup,sparse_file_size_mb,dense_file_size_mb,sparse_total_nnz,sparse_avg_nnz_per_matrix,graph_sparsity,step_matrix_sparsity,run_dense,is_feasible,has_dense_data
32,32,42,0.20498204231262207,0.1061551570892334,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.5178753996768855,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
32,32,43,0.1485898494720459,0.11107778549194336,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.7475462549199253,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
32,32,44,0.14162564277648926,0.11178183555603027,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.789276810079105,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
32,32,45,0.13515734672546387,0.10957551002502441,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.8107255186623178,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
32,32,46,0.12899327278137207,0.10677433013916016,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.8277511519544875,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
64,64,42,0.19185662269592285,0.2064964771270752,0.0087890625,0.09375,0.09375,10.666666666666666,1.0763062240199825,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
64,64,43,0.15526533126831055,0.20177793502807617,0.0087890625,0.09375,0.09375,10.666666666666666,1.299568508821768,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
64,64,44,0.14206290245056152,0.2025279998779297,0.0087890625,0.09375,0.09375,10.666666666666666,1.4256220053536515,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
64,64,45,0.1643669605255127,0.22528457641601562,0.0087890625,0.09375,0.09375,10.666666666666666,1.3706195922570912,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
64,64,46,0.1529541015625,0.2257835865020752,0.0087890625,0.09375,0.09375,10.666666666666666,1.476152546388667,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
128,128,42,0.21684861183166504,0.4447815418243408,0.017578125,0.375,0.375,21.333333333333332,2.0511154674562326,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
128,128,43,0.17115306854248047,0.45460939407348633,0.017578125,0.375,0.375,21.333333333333332,2.6561568422049735,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
128,128,44,0.2229475975036621,0.4340047836303711,0.017578125,0.375,0.375,21.333333333333332,1.9466672370095497,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
128,128,45,0.20334625244140625,0.4539816379547119,0.017578125,0.375,0.375,21.333333333333332,2.232554731174727,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
128,128,46,0.1689739227294922,0.4081110954284668,0.017578125,0.375,0.375,21.333333333333332,2.4152312311634363,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
256,256,42,0.26459407806396484,0.8073670864105225,0.03515625,1.5,1.5,42.666666666666664,3.051342238337412,0.030029296875,1.5002803802490234,2304,768.0,0.0078125,0.01171875,True,True,True
256,256,43,0.2480478286743164,0.8813438415527344,0.03515625,1.5,1.5,42.666666666666664,3.553120566557861,0.030029296875,1.5002803802490234,2304,768.0,0.0078125,0.01171875,True,True,True
256,256,44,0.34170103073120117,0.9060142040252686,0.03515625,1.5,1.5,42.666666666666664,2.651482209715615,0.030029296875,1.5002803802490234,2304,768.0,0.0078125,0.01171875,True,True,True
256,256,45,0.2827904224395752,0.8788177967071533,0.03515625,1.5,1.5,42.666666666666664,3.107664641276645,0.030029296875,1.5002803802490234,2304,768.0,0.0078125,0.01171875,True,True,True
256,256,46,0.2691361904144287,0.8658127784729004,0.03515625,1.5,1.5,42.666666666666664,3.2170061452518914,0.030029296875,1.5002803802490234,2304,768.0,0.0078125,0.01171875,True,True,True
512,512,42,0.3950936794281006,1.9252653121948242,0.0703125,6.0,6.0,85.33333333333333,4.872933717850541,0.059326171875,6.000280380249023,4608,1536.0,0.00390625,0.005859375,True,True,True
512,512,43,0.3457295894622803,1.7733631134033203,0.0703125,6.0,6.0,85.33333333333333,5.129335664215104,0.059326171875,6.000280380249023,4608,1536.0,0.00390625,0.005859375,True,True,True
512,512,44,0.3757610321044922,1.7419195175170898,0.0703125,6.0,6.0,85.33333333333333,4.635710913825397,0.059326171875,6.000280380249023,4608,1536.0,0.00390625,0.005859375,True,True,True
512,512,45,0.41150808334350586,1.7533369064331055,0.0703125,6.0,6.0,85.33333333333333,4.260759332325216,0.059326171875,6.000280380249023,4608,1536.0,0.00390625,0.005859375,True,True,True
512,512,46,0.3686401844024658,1.733959436416626,0.0703125,6.0,6.0,85.33333333333333,4.703663653020427,0.059326171875,6.000280380249023,4608,1536.0,0.00390625,0.005859375,True,True,True
