seed,model,wpn,lml,mse
102,Diffusion,,25.32738696401435,0.05439869616571102
102,GRF,512.0,25.026741749419898,0.04269155045063613
102,GRF-ablation,512.0,-84.65758761922005,0.03767926293524283
102,GRF,1024.0,29.330847676699577,0.04232877761977818
102,GRF-ablation,1024.0,-120.06162168686015,0.03917705304979334
102,GRF,2048.0,26.770093397897583,0.0455362499023526
102,GRF-ablation,2048.0,30.218842090864655,0.04591258855436781
102,GRF,4096.0,24.73898068914869,0.041551846839403606
102,GRF-ablation,4096.0,-79.16287263999911,0.037674646159537015
102,GRF,8192.0,27.121637630716805,0.0428889809613755
102,GRF-ablation,8192.0,-77.59855033004445,0.03767939748952459
