seed,model,walks_per_node,lml,rmse,nlpd,beta,sigma_f,variance
1115,PoFM,,-347.3440952729416,13.002115571987668,85.17555727233545,2.065017708125136,1.3727473149980445,0.3344162219402174
1115,Diffusion,,-347.81261848376136,13.192213709920669,84.97637306390689,2.065017708125136,1.3727473149980445,0.3344162219402174
1115,GRF,1.0,-353.0954406296592,14.978843964081417,95.5723386808054,0.4052205936336374,0.5664380467719996,0.7463008776790518
1115,GRF,2.0,-351.2735225158887,15.124928417847348,96.19028800810186,0.18329698649911,1.0844309986099787,2.173717624769696e-06
1115,GRF,4.0,-353.48668252134684,15.247349398455288,97.27440812956485,0.7572214377073315,0.5453524806610899,0.8025159711474439
1115,GRF,8.0,-354.7346339000306,15.314859645333952,97.26929801937736,6.789628834068869,1.4736740001805966e-05,1.0000000581029735
1115,GRF,16.0,-354.73463404290897,15.314859480944053,97.26914330267884,3.0883589897894828,0.0001606214871207,0.999991554852654
1115,GRF,32.0,-350.0554105487776,14.335050974005172,96.04424731602244,0.8427240498634411,1.1152496082371148,0.3571335623758236
1115,GRF,64.0,-351.5749665848801,14.456521223525591,91.10411247594294,0.5285495572128597,1.2477695831929123,5.617021036965647e-06
1115,GRF,128.0,-351.5184459779624,14.224419854132304,92.9284026370573,1.09321616971061,1.090969764513392,0.4615957866527674
1115,GRF,256.0,-350.2504393915777,14.035130050691205,91.37597586626283,1.1210650371553157,1.230494492437502,0.3277782617334836
1115,GRF,512.0,-348.5644815140403,13.615744628993497,88.01834771698915,1.8317938587327052,1.213364375477341,0.4796487354865663
1115,GRF,1024.0,-348.4843010561634,13.122918376977788,88.60606441073978,1.965951187400056,1.2806921829157638,0.4164726989138406
1115,GRF,2048.0,-348.36242855189454,13.393681466201746,87.38682355401266,2.012910753917688,1.2911901987505543,0.4030795178919386
1115,GRF,4096.0,-349.05778792218973,13.334875893019186,86.47287558122986,1.938493432088856,1.2711079426822702,0.4404877985238921
1115,GRF,8192.0,-347.6301194672868,13.076093838203914,85.88921351162433,2.054414422896871,1.3518869737358448,0.3549799060541967
1115,A-GRF,1.0,-354.13723764788097,15.066327995540618,96.3666262909451,,,0.8708946829208363
1115,A-GRF,2.0,-354.2021975300501,15.111791421381268,96.63541500999406,,,0.0109993585854162
1115,A-GRF,4.0,-353.85111552566883,15.265616975563413,98.02038644932088,,,0.0101675048803046
1115,A-GRF,8.0,-354.3787510798128,15.225469263322838,96.72201772456016,,,2.8262352418624626e-05
1115,A-GRF,16.0,-350.9414127464251,14.56380939850379,94.07327904381144,,,2.670169999110204e-06
1115,A-GRF,32.0,-352.7474940174092,14.419432955853972,92.0856777190356,,,0.7097498505545835
1115,A-GRF,64.0,-353.28231743438306,14.70641254143507,95.00470010483497,,,0.0123266897532906
1115,A-GRF,128.0,-349.7354221010985,13.347271967647954,88.8815842014463,,,0.406046905726148
1115,A-GRF,256.0,-342.7159919902056,13.847573617622022,102.0796360388666,,,0.0518014725158177
1115,A-GRF,512.0,-349.62588271944435,13.48923724487705,88.88896364874444,,,0.0100853679928371
1115,A-GRF,1024.0,-350.092263463656,13.49942579778754,88.32264301216007,,,0.0100691566968504
1115,A-GRF,2048.0,-348.2458655108523,13.107424129444889,86.41692207350121,,,0.0100690281906907
1115,A-GRF,4096.0,-348.1124541089823,12.96035427509958,85.65885736191349,,,0.010067641262432
1115,A-GRF,8192.0,-347.91516582769265,12.909597654410105,85.7918262878697,,,0.010067986355805
