seed,model,walks_per_node,lml,rmse,nlpd,beta,sigma_f,variance
1112,GRF,1,-351.8432701031794,16.869932416789045,104.83317723478913,0.11197649885654876,1.05044882016995,7.635567936812309e-05
1112,GRF,2,-354.73434407279507,16.79397647880466,104.69865865358389,1.6562248186830666,0.0025582674926911153,0.9999750564965029
1112,GRF,4,-354.7346364340345,16.793992425385394,104.698604404211,7.452411534841799,6.284420937971088e-06,1.0000002053889605
1112,GRF,8,-354.0571694242657,16.79762749881459,104.0066338482982,2.434137468871147,0.17377133991807175,0.9037886047949963
1112,GRF,16,-351.1790155989117,16.43298639347231,106.3713270168678,0.7932274626269956,0.9145853313049113,0.5229249027180175
1112,GRF,32,-347.58667847854764,16.4259895872298,106.39845446269649,0.6288233332031968,1.3009746700472742,1.6569442147146824e-06
1112,GRF,64,-346.8956985280559,16.074602787380893,110.19708229658197,0.721709656292818,1.323858757377816,1.7873604033063016e-06
1112,GRF,128,-350.6791555717356,16.127789274546853,101.83835297137333,0.8379412989442083,1.205943890386847,0.24162518758960957
1112,GRF,256,-347.07572692912805,16.11339803511281,105.78312154500752,1.061699524533853,1.3704693408146102,0.13747016940638057
1112,GRF,512,-344.08253519003614,15.622768313163366,103.02212691873513,1.7570794456912424,1.294527806369563,0.3765139519946475
1112,GRF,1024,-345.7655647643992,15.499816446895775,99.66999173203033,1.7984309084230687,1.3040949639735426,0.3797962980769713
1112,GRF,2048,-344.5279290808592,15.509627313906124,100.8819498876251,1.9216030569746503,1.3504845468859719,0.334867788701044
1112,GRF,4096,-344.48359068589485,15.392271620661354,99.23365727236815,1.930545048381284,1.3708019892903962,0.33062705763039857
1112,GRF,8192,-342.97426723841653,15.145130873242556,98.71998171091272,2.021902078232425,1.426597280238976,0.2673227818378865
