n_nodes,seed,n_train,n_test,train_time,inference_time,total_time,test_rmse,noise_variance,modulator_l2
32,42,19,7,2.473912239074707,0.021401643753051758,2.495313882827759,0.18080167353789736,1.0011795166214722e-06,0.6585235932420309
32,43,19,7,1.3801805973052979,0.01449275016784668,1.3946733474731445,0.18725360840861113,1.004898111931221e-06,0.6301586756085664
32,44,19,7,1.5061488151550293,0.014828205108642578,1.5209770202636719,0.2552158992752319,1.0006641857274988e-06,0.6114521708558851
32,45,19,7,1.659489393234253,0.01440572738647461,1.6738951206207275,0.3220997332332401,1.0037207157569445e-06,0.6659471393109564
32,46,19,7,1.3173823356628418,0.014308452606201172,1.331690788269043,0.2721128781628836,1.0044852400408171e-06,0.6726086631517777
64,42,38,14,1.3308749198913574,0.016630172729492188,1.3475050926208496,0.1670100448494417,1.0025484394399127e-06,0.5823021128536849
64,43,38,14,1.3665404319763184,0.015468835830688477,1.3820092678070068,0.1315441354636402,1.0002834803282276e-06,0.5683412292386358
64,44,38,14,1.3403642177581787,0.014496564865112305,1.354860782623291,0.19820298697410246,1.002596203250427e-06,0.6358224282655646
64,45,38,14,1.5240182876586914,0.015364646911621094,1.5393829345703125,0.19692724225856165,1.0011382389100846e-06,0.5843443789723072
64,46,38,14,1.497934103012085,0.014406681060791016,1.512340784072876,0.18332798486344595,1.000769466650876e-06,0.6036581227006431
128,42,76,27,1.5591306686401367,0.015967845916748047,1.5750985145568848,0.2309723663435885,1.001455350189159e-06,0.5565535098193135
128,43,76,27,1.262801170349121,0.014618873596191406,1.2774200439453125,0.2079587512745511,1.0001547660149338e-06,0.5498970815775094
128,44,76,27,1.462310552597046,0.016722917556762695,1.4790334701538086,0.21372911247133733,1.00046083468636e-06,0.5804939196829946
128,45,76,27,1.5385375022888184,0.01870870590209961,1.557246208190918,0.18875553804143197,1.0011067641867072e-06,0.5522130988663315
128,46,76,27,1.3145089149475098,0.014896869659423828,1.3294057846069336,0.2057892091937746,1.0018745737774323e-06,0.560525303362033
